%
% Commandline
%
% weka.datagenerators.clusterers.SubspaceCluster -r D05 -S 1 -a 5 -c -P 0.0 -C "-G 1,2,3,4,5 -D 823.0,328.0,564.0,351.0,661.0,31.0,721.0,311.0,190.0,63.0 -N 150..300" -C "-G 1,2,3,4,5 -D 901.0,315.0,999.0,311.0,689.0,253.0,578.0,44.0,17.0,40.0 -N 150..300" -C "-G 1,2,3,4,5 -D 285.0,313.0,285.0,368.0,514.0,31.0,575.0,57.0,126.0,221.0 -N 150..300" -C "-G 1,2,3,4,5 -D 456.0,66.0,86.0,208.0,885.0,388.0,513.0,28.0,131.0,40.0 -N 150..300" -C "-G 1,2,3,4,5 -D 979.0,235.0,832.0,237.0,228.0,73.0,903.0,47.0,852.0,53.0 -N 150..300" -C "-G 1,2,3,4,5 -D 825.0,338.0,959.0,53.0,546.0,66.0,82.0,251.0,246.0,63.0 -N 150..300" -C "-G 1,2,3,4,5 -D 429.0,34.0,109.0,64.0,905.0,247.0,108.0,70.0,854.0,68.0 -N 150..300" -C "-G 1,2,3,4,5 -D 155.0,43.0,273.0,55.0,404.0,28.0,897.0,243.0,679.0,58.0 -N 150..300" -C "-G 1,2,3,4,5 -D 347.0,346.0,943.0,52.0,839.0,39.0,143.0,59.0,388.0,38.0 -N 150..300" -C "-G 1,2,3,4,5 -D 311.0,68.0,98.0,303.0,69.0,51.0,956.0,50.0,927.0,73.0 -N 150..300"
%
%
% Prologue
%
%
% Cluster: c0   Gaussian
% ----------------------------------------------
% Attribute: 0 Mean: 823.0 StdDev: 328.0
% Attribute: 1 Mean: 564.0 StdDev: 351.0
% Attribute: 2 Mean: 661.0 StdDev: 31.0
% Attribute: 3 Mean: 721.0 StdDev: 311.0
% Attribute: 4 Mean: 190.0 StdDev: 63.0
%
% Number of Instances:            150..300
% Generated Number of Instances:  259
%
% Cluster: c1   Gaussian
% ----------------------------------------------
% Attribute: 0 Mean: 901.0 StdDev: 315.0
% Attribute: 1 Mean: 999.0 StdDev: 311.0
% Attribute: 2 Mean: 689.0 StdDev: 253.0
% Attribute: 3 Mean: 578.0 StdDev: 44.0
% Attribute: 4 Mean: 17.0 StdDev: 40.0
%
% Number of Instances:            150..300
% Generated Number of Instances:  211
%
% Cluster: c2   Gaussian
% ----------------------------------------------
% Attribute: 0 Mean: 285.0 StdDev: 313.0
% Attribute: 1 Mean: 285.0 StdDev: 368.0
% Attribute: 2 Mean: 514.0 StdDev: 31.0
% Attribute: 3 Mean: 575.0 StdDev: 57.0
% Attribute: 4 Mean: 126.0 StdDev: 221.0
%
% Number of Instances:            150..300
% Generated Number of Instances:  181
%
% Cluster: c3   Gaussian
% ----------------------------------------------
% Attribute: 0 Mean: 456.0 StdDev: 66.0
% Attribute: 1 Mean: 86.0 StdDev: 208.0
% Attribute: 2 Mean: 885.0 StdDev: 388.0
% Attribute: 3 Mean: 513.0 StdDev: 28.0
% Attribute: 4 Mean: 131.0 StdDev: 40.0
%
% Number of Instances:            150..300
% Generated Number of Instances:  199
%
% Cluster: c4   Gaussian
% ----------------------------------------------
% Attribute: 0 Mean: 979.0 StdDev: 235.0
% Attribute: 1 Mean: 832.0 StdDev: 237.0
% Attribute: 2 Mean: 228.0 StdDev: 73.0
% Attribute: 3 Mean: 903.0 StdDev: 47.0
% Attribute: 4 Mean: 852.0 StdDev: 53.0
%
% Number of Instances:            150..300
% Generated Number of Instances:  295
%
% Cluster: c5   Gaussian
% ----------------------------------------------
% Attribute: 0 Mean: 825.0 StdDev: 338.0
% Attribute: 1 Mean: 959.0 StdDev: 53.0
% Attribute: 2 Mean: 546.0 StdDev: 66.0
% Attribute: 3 Mean: 82.0 StdDev: 251.0
% Attribute: 4 Mean: 246.0 StdDev: 63.0
%
% Number of Instances:            150..300
% Generated Number of Instances:  150
%
% Cluster: c6   Gaussian
% ----------------------------------------------
% Attribute: 0 Mean: 429.0 StdDev: 34.0
% Attribute: 1 Mean: 109.0 StdDev: 64.0
% Attribute: 2 Mean: 905.0 StdDev: 247.0
% Attribute: 3 Mean: 108.0 StdDev: 70.0
% Attribute: 4 Mean: 854.0 StdDev: 68.0
%
% Number of Instances:            150..300
% Generated Number of Instances:  294
%
% Cluster: c7   Gaussian
% ----------------------------------------------
% Attribute: 0 Mean: 155.0 StdDev: 43.0
% Attribute: 1 Mean: 273.0 StdDev: 55.0
% Attribute: 2 Mean: 404.0 StdDev: 28.0
% Attribute: 3 Mean: 897.0 StdDev: 243.0
% Attribute: 4 Mean: 679.0 StdDev: 58.0
%
% Number of Instances:            150..300
% Generated Number of Instances:  290
%
% Cluster: c8   Gaussian
% ----------------------------------------------
% Attribute: 0 Mean: 347.0 StdDev: 346.0
% Attribute: 1 Mean: 943.0 StdDev: 52.0
% Attribute: 2 Mean: 839.0 StdDev: 39.0
% Attribute: 3 Mean: 143.0 StdDev: 59.0
% Attribute: 4 Mean: 388.0 StdDev: 38.0
%
% Number of Instances:            150..300
% Generated Number of Instances:  292
%
% Cluster: c9   Gaussian
% ----------------------------------------------
% Attribute: 0 Mean: 311.0 StdDev: 68.0
% Attribute: 1 Mean: 98.0 StdDev: 303.0
% Attribute: 2 Mean: 69.0 StdDev: 51.0
% Attribute: 3 Mean: 956.0 StdDev: 50.0
% Attribute: 4 Mean: 927.0 StdDev: 73.0
%
% Number of Instances:            150..300
% Generated Number of Instances:  290
%
% ----------------------------------------------
% Total Number of Instances: 2461
%                            in 10 Cluster(s)
%
%
@relation D05

@attribute X0 numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute class {c0,c1,c2,c3,c4,c5,c6,c7,c8,c9}

@data
456.203107,-18.070944,602.652904,739.428459,164.270086,c0
917.368717,720.276517,631.369831,616.769427,127.551216,c0
1023.523111,899.971945,655.121291,723.756576,216.869497,c0
617.748612,156.535053,748.752702,831.550669,104.289316,c0
972.249579,155.800172,620.54705,771.923332,158.63916,c0
385.864566,430.128978,614.598293,1042.08908,299.256966,c0
551.101754,680.701293,592.050165,518.752876,68.089411,c0
606.378687,564.260586,663.776858,794.372883,236.683668,c0
1673.454007,-451.698866,640.615127,169.911667,159.482478,c0
643.964369,1206.102619,725.258338,849.230492,275.542694,c0
1036.500132,224.904434,638.552995,976.355168,216.500947,c0
975.83136,197.598081,674.20719,643.555079,210.433805,c0
1136.975409,926.488162,661.194586,821.168175,140.760905,c0
978.678456,601.970683,657.104609,1458.829921,166.82008,c0
554.833887,647.991085,648.909903,744.50332,249.955351,c0
441.351048,676.37145,694.370865,194.631427,261.946869,c0
699.870017,802.576501,709.389494,568.421979,141.413436,c0
357.161447,680.555889,678.322781,538.125481,186.565813,c0
606.526535,609.643726,685.336315,1308.8517,211.757342,c0
752.490546,208.972807,686.788842,216.989318,257.53036,c0
563.31388,-178.313019,656.465418,314.971344,251.007186,c0
1211.768584,604.185386,667.25774,1063.309375,301.088748,c0
705.560305,652.600555,649.834123,941.312542,202.111523,c0
1030.395515,304.417888,680.247708,554.00282,269.880845,c0
931.315804,351.670215,622.631338,1071.717757,101.442393,c0
199.683032,1034.030072,638.061547,1068.45834,142.677622,c0
1405.286655,-480.706868,644.442927,1293.752197,235.850555,c0
1125.866203,314.027178,690.313799,238.277392,169.453234,c0
659.810772,438.602027,719.127042,990.859704,212.553415,c0
299.108324,701.04724,667.443922,961.44343,144.680815,c0
404.561026,487.773267,697.070841,832.862401,251.960629,c0
363.174272,298.603369,633.82292,267.439052,129.97678,c0
944.597314,675.88733,639.512529,266.20546,181.608003,c0
838.863495,319.598448,666.534849,1020.465332,125.236721,c0
593.465643,686.252384,640.255674,346.282127,116.355644,c0
932.15554,1048.393792,663.061013,672.964005,161.203933,c0
1131.254775,1127.895427,697.302584,154.55796,211.36815,c0
869.503996,41.473616,651.717353,1066.061661,109.01905,c0
938.356033,429.354305,645.581765,122.501614,361.228778,c0
1222.327678,185.513382,696.496019,682.265439,273.484347,c0
899.813351,537.713074,664.23688,676.863726,235.956077,c0
1008.938829,472.585358,634.63624,925.293117,144.697982,c0
1257.528162,820.724716,646.474658,891.545668,107.312975,c0
1070.725256,787.120558,688.469221,688.453026,125.061235,c0
847.241697,1159.466565,640.464205,748.821378,171.051749,c0
1108.658558,138.80485,680.692906,613.534958,230.538615,c0
955.343879,1208.541789,627.881314,560.960006,248.565881,c0
1036.697229,509.205231,704.289917,458.787996,187.407879,c0
-98.007549,165.816273,696.117599,543.949474,177.857517,c0
479.079047,1288.134892,667.676322,754.546172,242.063383,c0
687.847258,168.116418,626.637023,700.668979,252.616332,c0
746.94053,735.907099,730.048702,517.980902,159.21292,c0
1089.028814,30.171802,658.375974,738.081409,85.717237,c0
1221.048554,70.042853,704.28251,968.702793,210.553458,c0
886.148511,360.152543,727.964314,1062.370829,194.033022,c0
1107.023916,436.779307,649.494499,898.794613,238.582304,c0
1530.791375,81.012511,586.298229,423.0361,259.671082,c0
419.900861,767.513849,671.262353,1278.264507,200.753538,c0
972.641064,796.841512,668.59794,185.325442,257.665543,c0
1100.051881,301.147086,662.022127,1145.238291,198.178904,c0
1407.085762,645.795681,687.97802,1165.774253,177.692707,c0
1016.532536,46.487496,640.573228,718.142288,221.396098,c0
1062.423675,953.187832,633.712948,666.475132,216.745016,c0
924.94488,566.047252,597.272856,609.60116,130.668996,c0
306.235369,873.740684,611.503515,667.819877,138.028571,c0
848.160565,690.334513,673.796935,449.486911,198.824836,c0
133.534648,470.757905,696.353511,740.391107,143.844854,c0
1124.153277,112.931082,673.069233,375.465085,213.217408,c0
814.192803,863.09944,655.86742,1207.67557,273.60729,c0
844.740467,161.486888,655.326855,976.491033,205.131252,c0
813.918792,981.597284,617.49507,685.839519,225.635125,c0
270.58542,440.122025,617.895414,1071.096123,242.118462,c0
765.860042,493.599811,678.702082,466.480126,157.330748,c0
1152.648923,282.571128,641.555922,554.449824,177.918998,c0
1034.189027,305.753558,614.973514,43.808587,201.524141,c0
1444.768282,496.519545,662.739404,355.317557,64.085015,c0
913.098406,1014.351654,678.811698,883.63513,219.310048,c0
1251.375395,544.776934,639.628919,964.353992,235.548543,c0
971.002189,208.704617,644.778343,789.588968,129.531219,c0
1066.041826,182.595814,665.733148,685.826548,288.027391,c0
770.360157,698.6271,686.37507,848.596261,165.366793,c0
848.133133,887.583706,666.283749,728.017964,100.701545,c0
259.941698,305.383692,675.093502,640.319553,56.871038,c0
762.325082,1031.478098,642.281815,570.107865,123.691081,c0
471.888537,847.514379,629.461941,307.230411,213.73113,c0
1046.286478,753.868218,655.57473,663.989272,180.292327,c0
1125.867036,1093.79173,621.325724,592.457821,133.938564,c0
1022.674565,125.570519,661.434394,629.1844,183.908884,c0
731.007869,530.879569,655.721458,584.116085,242.083642,c0
380.75723,423.965887,635.373517,606.985959,227.650503,c0
980.569526,965.903298,627.294985,459.412186,247.811279,c0
784.167313,1078.389066,661.805774,384.506172,190.857998,c0
940.100154,286.071082,678.980672,722.031098,128.04285,c0
804.552333,637.738298,659.621595,275.130329,208.905607,c0
1052.495884,1070.486583,655.306403,473.908069,218.401693,c0
1127.584904,834.835639,673.867715,1005.814775,211.18858,c0
382.471258,509.657333,647.159496,654.518543,206.798677,c0
515.921694,787.392855,627.257983,1111.899585,144.323628,c0
928.349953,76.187932,625.56525,1232.834319,180.580014,c0
